トピック,Phi,単語
19,0.00420593166445037,パソコン
19,0.0549241329289878,の
19,0.00749078925930383,遠隔
19,0.0077535778668921,操作
19,0.00827915508206866,事件
19,0.0229953171070122,は
19,0.0454637430558098,、
19,0.00262920001892071,インターネット
19,0.0277255120436011,を
19,0.000264102550626218,舞台
19,0.0311417639422487,に
19,0.000264102550626218,起き
19,0.0358719588788377,た
19,0.000526891158214495,だけ
19,0.0311417639422487,に
19,0.000658285462008633,ネット
19,0.00013270824683208,利用
19,0.00919891520862763,者
19,0.0549241329289878,の
19,0.000658285462008633,関心
19,0.0229953171070122,は
19,0.000264102550626218,高く
19,0.0454637430558098,、
19,0.00525708609480348,１
19,0.00591405761377417,０
19,0.00735939495550969,日
19,0.0454637430558098,、
19,0.00118386267718519,都内
19,0.0311417639422487,に
19,0.00105246837339105,住む
19,0.0049942974872152,３
19,0.00591405761377417,０
19,0.00092107406959691,歳
19,0.0549241329289878,の
19,0.00302338293030312,男
19,0.0261487803980715,が
19,0.00854194368965693,逮捕
19,0.0101186753351866,さ
19,0.0128779557148635,れ
19,0.0358719588788377,た
19,0.00565126900618589,こと
19,0.000789679765802771,について
19,0.0229953171070122,は
19,0.0454637430558098,、
19,0.00223501710753829,報道
19,0.0101186753351866,さ
19,0.0128779557148635,れ
19,0.0358719588788377,た
19,0.00013270824683208,当初
19,0.00709660634792141,から
19,0.00985588672759832,「
0,0.0309057527539776,本当に
19,0.00236641141133243,真犯人
19,0.00354896014547968,な
19,0.0549241329289878,の
19,0.00118386267718519,か
19,0.00972449242380418,」
19,0.000526891158214495,といった
19,0.000658285462008633,慎重
19,0.00354896014547968,な
19,0.00092107406959691,意見
19,0.0261487803980715,が
19,0.00013270824683208,目立つ
19,0.000526891158214495,一方
19,0.0454637430558098,、
19,0.00985588672759832,「
19,0.00827915508206866,事件
19,0.0229953171070122,は
19,0.000264102550626218,許さ
19,0.0128779557148635,れ
19,0.00223501710753829,ない
19,0.00972449242380418,」
19,0.00144665128477346,という
19,0.000264102550626218,怒り
19,0.0549241329289878,の
19,0.000395496854420356,声
19,0.0118268012845104,など
19,0.000264102550626218,さまざま
19,0.00354896014547968,な
19,0.00092107406959691,意見
19,0.0261487803980715,が
19,0.000395496854420356,サイト
19,0.0311417639422487,に
19,0.000658285462008633,掲載
19,0.0101186753351866,さ
19,0.0128779557148635,れ
19,0.0170825734362759,て
19,0.006702423436539,い
19,0.00236641141133243,ます
19,0.0249662316639242,。
19,0.00262920001892071,インターネット
19,0.0222069512842473,で
19,0.0229953171070122,は
19,0.0454637430558098,、
19,0.00525708609480348,１
19,0.00591405761377417,０
19,0.00735939495550969,日
19,0.0454637430558098,、
19,0.00118386267718519,都内
19,0.0311417639422487,に
19,0.00105246837339105,住む
19,0.0049942974872152,３
19,0.00591405761377417,０
19,0.00092107406959691,歳
19,0.0549241329289878,の
19,0.00302338293030312,男
19,0.0261487803980715,が
19,0.00854194368965693,逮捕
19,0.0101186753351866,さ
19,0.0128779557148635,れ
19,0.0358719588788377,た
19,0.00565126900618589,こと
19,0.000789679765802771,について
19,0.0454637430558098,、
19,0.00223501710753829,報道
19,0.0101186753351866,さ
19,0.0128779557148635,れ
19,0.0358719588788377,た
19,0.000264102550626218,ニュース
19,0.0118268012845104,など
19,0.0277255120436011,を
19,0.000264102550626218,集め
19,0.0170825734362759,て
19,0.00827915508206866,事件
19,0.0277255120436011,を
19,0.000264102550626218,独自
19,0.0311417639422487,に
19,0.00013270824683208,検証
19,0.00538848039859761,する
19,0.00985588672759832,「
19,0.00013270824683208,まとめ
19,0.00013270824683208,記事
19,0.00972449242380418,」
19,0.0261487803980715,が
19,0.000264102550626218,複数
19,0.00013270824683208,現れる
19,0.0118268012845104,など
19,0.000395496854420356,高い
19,0.000658285462008633,関心
19,0.0277255120436011,を
19,0.000264102550626218,集め
19,0.0170825734362759,て
19,0.00131525698097932,おり
19,0.0454637430558098,、
19,0.00210362280374416,掲示板
19,0.00236641141133243,や
19,0.00013270824683208,ツイッター
19,0.0454637430558098,、
19,0.000264102550626218,ニュース
19,0.000395496854420356,サイト
