トピック,Phi,単語
2,0.0165274631936581,犯行
12,0.218216977389934,は
13,0.0192013756209392,許さ
2,0.0932073423933569,れ
12,0.0496330821102757,ない
12,0.089299880999607,」
13,0.0383072220099333,といった
10,0.0878125945512133,、
13,0.0192013756209392,怒り
2,0.108543318233297,の
12,0.0149246330821109,声
2,0.0259649867874672,も
2,0.00355086825217067,多く
13,0.0287542988154363,掲載
12,0.0545914319714422,さ
2,0.0932073423933569,れ
2,0.107363627784071,て
2,0.0542775575688945,い
13,0.0574130683989275,ます
10,0.0424280095241827,。
13,0.0287542988154363,今回
10,0.0825506136785141,の
10,0.0203934646197548,事件
12,0.218216977389934,は
2,0.023605605889015,インターネット
10,0.055254087901387,を
13,0.0192013756209392,舞台
10,0.0641336806240669,に
13,0.0192013756209392,起き
10,0.05196534985595,た
13,0.0287542988154363,だけ
10,0.0641336806240669,に
10,0.0878125945512133,、
2,0.0118087013967536,以前
10,0.0118427457016186,から
13,0.0287542988154363,関心
2,0.103824556436392,が
13,0.0192013756209392,高く
10,0.0878125945512133,、
10,0.00526526961074463,掲示板
10,0.00493639580620093,など
13,0.0574130683989275,で
12,0.218216977389934,は
10,0.0878125945512133,、
13,0.0192013756209392,マスコミ
2,0.0118087013967536,報道
10,0.0118427457016186,から
13,0.00964845242644207,一
12,0.00500793335977807,歩
13,0.00964845242644207,引い
2,0.107363627784071,て
13,0.0192013756209392,独自
10,0.0825506136785141,の
13,0.00964845242644207,考察
10,0.055254087901387,を
2,0.0011914873537184,巡らせる
13,0.0478601452044304,意見
10,0.0279575621242599,が
2,0.00355086825217067,多く
13,0.00964845242644207,寄せ
2,0.0212462249905627,られ
2,0.107363627784071,て
2,0.0542775575688945,い
13,0.0574130683989275,ます
10,0.0424280095241827,。
4,0.0122054894340544,中国共産党
6,0.0167344777616767,機関
5,0.0101167706865315,紙
6,0.0167344777616767,・
5,0.0201832091805926,人民日報
4,0.00613310663104228,系
6,0.104517333630589,の
4,0.0243502550400787,環
6,0.00558744844498948,球
5,0.0201832091805926,時報
6,0.0529623230409102,は
5,0.0201832091805926,16
2,0.0259649867874672,日
5,0.040316086168715,付
6,0.0627159736930116,で
10,0.0878125945512133,、
10,0.00954062906981273,「
4,0.072929317464176,中国
10,0.0825506136785141,の
4,0.0122054894340544,民間
6,0.0529623230409102,は
7,0.00267422156322816,『
4,0.0607845518581517,琉球
4,0.0607845518581517,独立
6,0.00837420577416129,研究
14,0.0206444700840619,会
5,0.0101167706865315,』
10,0.055254087901387,を
5,0.0201832091805926,支持
5,0.0101167706865315,す
6,0.00698082710957538,べき
5,0.0201832091805926,だ
5,0.0805818401449597,」
6,0.0696828670159411,と
4,0.0243502550400787,主張
5,0.0705154016508985,する
4,0.0243502550400787,社説
10,0.055254087901387,を
4,0.0122054894340544,掲載
6,0.0446020510533948,し
7,0.108583986443551,た
6,0.0655027310221834,。
6,0.00280069111581767,本土
5,0.0101167706865315,復帰
4,0.0122054894340544,41
6,0.00976758443874719,年
10,0.055254087901387,を
5,0.0101167706865315,迎え
10,0.05196534985595,た
5,0.0805818401449597,沖縄
5,0.0201832091805926,県
6,0.0627159736930116,で
4,0.0122054894340544,15
4,0.0364950206461031,日
6,0.110090848288932,、
5,0.040316086168715,日本
6,0.0250947497491921,から
6,0.104517333630589,の
4,0.0607845518581517,独立
10,0.0641336806240669,に
5,0.0101167706865315,向け
10,0.0878125945512133,、
2,0.00237117780294453,幅広い
6,0.00837420577416129,研究
4,0.145797911100322,を
5,0.0201832091805926,推進
10,0.00625189102437573,する
5,0.0503825246627761,「
4,0.0607845518581517,琉球
5,0.0101167706865315,民族
4,0.0607845518581517,独立
5,0.0101167706865315,総合
6,0.00837420577416129,研究
4,0.0122054894340544,学会
5,0.0805818401449597,」
6,0.0320616430721217,が
5,0.0101167706865315,発足
6,0.0446020510533948,し
6,0.0794365176680424,た
2,0.0507384862212161,こと
4,0.145797911100322,を
4,0.0182778722370666,受け
6,0.110090848288932,、
10,0.00954062906981273,「
6,0.00280069111581767,長期
5,0.0201832091805926,的
10,0.0641336806240669,に
5,0.0101167706865315,見
10,0.0121716195061623,て
4,0.0607845518581517,琉球
4,0.0122054894340544,国
7,0.0159129421732686,（
4,0.0607845518581517,琉球
5,0.0201832091805926,王国
0,0.087560329327152,）
4,0.0243502550400787,復活
6,0.00837420577416129,運動
10,0.055254087901387,を
5,0.0201832091805926,推進
5,0.0705154016508985,する
14,0.0041618592385035,重要
17,0.0531714892921379,な
6,0.00280069111581767,勢力
6,0.0459954297179807,に
4,0.0122054894340544,なる
5,0.0805818401449597,」
6,0.0696828670159411,と
5,0.0101167706865315,強調
6,0.0655027310221834,。
5,0.040316086168715,日本
5,0.0101167706865315,国内
2,0.108543318233297,の
0,0.0449749219267538,「
5,0.0805818401449597,沖縄
4,0.0607845518581517,独立
4,0.0243502550400787,論
5,0.0805818401449597,」
6,0.0459954297179807,に
4,0.0122054894340544,関心
10,0.055254087901387,を
6,0.00280069111581767,高め
2,0.107363627784071,て
2,0.0224259154397888,いる
7,0.0106174539292524,。
0,0.104121321093973,　
4,0.072929317464176,中国
10,0.038810397674202,で
6,0.0529623230409102,は
10,0.0878125945512133,、
19,0.0102492508853175,8
2,0.0259649867874672,日
5,0.040316086168715,付
2,0.108543318233297,の
5,0.0201832091805926,人民日報
2,0.103824556436392,が
5,0.0805818401449597,沖縄
6,0.104517333630589,の
6,0.00280069111581767,帰属
2,0.00355086825217067,に関して
5,0.0503825246627761,「
5,0.0101167706865315,未
5,0.0101167706865315,解決
5,0.0805818401449597,」
6,0.0696828670159411,と
10,0.0368371548469398,し
6,0.110090848288932,、
10,0.00954062906981273,「
5,0.0101167706865315,再議
4,0.0243502550400787,論
5,0.0805818401449597,」
4,0.145797911100322,を
4,0.0122054894340544,促す
4,0.0122054894340544,論文
4,0.145797911100322,を
5,0.0101167706865315,発表
6,0.00837420577416129,する
2,0.0648947716119297,など
6,0.110090848288932,、
5,0.0805818401449597,沖縄
6,0.00558744844498948,に対する
5,0.040316086168715,日本
10,0.0825506136785141,の
4,0.0243502550400787,主権
6,0.0264881284137781,を
4,0.0122054894340544,否定
6,0.00837420577416129,する
4,0.0243502550400787,論調
1,0.0194595293509187,が
5,0.0101167706865315,相次い
6,0.0627159736930116,で
6,0.00837420577416129,いる
10,0.0424280095241827,。
5,0.0101167706865315,反日
4,0.0243502550400787,論調
6,0.0627159736930116,で
5,0.0101167706865315,知ら
2,0.00237117780294453,れる
4,0.0243502550400787,環
6,0.00558744844498948,球
5,0.0201832091805926,時報
6,0.0529623230409102,は
4,0.0122054894340544,11
4,0.0364950206461031,日
5,0.040316086168715,付
10,0.038810397674202,で
2,0.0259649867874672,も
6,0.110090848288932,、
5,0.040316086168715,日本
10,0.0279575621242599,が
4,0.072929317464176,中国
6,0.0696828670159411,と
2,0.108543318233297,の
5,0.0101167706865315,敵対
5,0.0101167706865315,姿勢
10,0.055254087901387,を
14,0.0041618592385035,強める
4,0.0122054894340544,なら
4,0.072929317464176,中国
4,0.0122054894340544,政府
6,0.0529623230409102,は
5,0.0101167706865315,立場
10,0.055254087901387,を
0,0.00475537049304446,変更
10,0.0368371548469398,し
10,0.0878125945512133,、
4,0.0607845518581517,琉球
5,0.0201832091805926,王国
4,0.0243502550400787,復活
4,0.145797911100322,を
4,0.0122054894340544,目指す
5,0.0101167706865315,組織
4,0.145797911100322,を
5,0.0201832091805926,支持
5,0.0705154016508985,する
2,0.0507384862212161,こと
2,0.0259649867874672,も
5,0.0101167706865315,提案
6,0.0655027310221834,。
5,0.0805818401449597,沖縄
6,0.104517333630589,の
4,0.0243502550400787,主権
10,0.055254087901387,を
6,0.00280069111581767,取り上げ
6,0.110090848288932,、
5,0.0805818401449597,沖縄
7,0.029151662783309,県
10,0.00329202678348243,・
5,0.0101167706865315,尖閣諸島
0,0.0946578972272183,（
4,0.072929317464176,中国
6,0.00419406978040357,名
6,0.0167344777616767,・
6,0.00280069111581767,釣魚
5,0.0101167706865315,島
0,0.087560329327152,）
6,0.0264881284137781,を
4,0.0122054894340544,めぐり
4,0.0122054894340544,対立
5,0.0705154016508985,する
5,0.0101167706865315,安倍
6,0.00280069111581767,政権
4,0.145797911100322,を
4,0.0122054894340544,揺さぶる
5,0.0101167706865315,狙い
2,0.103824556436392,が
2,0.0200665345413366,ある
6,0.0655027310221834,。
0,0.104121321093973,　
5,0.0201832091805926,16
0,0.0639017696602641,日
5,0.040316086168715,付
6,0.104517333630589,の
4,0.0122054894340544,同紙
4,0.0243502550400787,社説
6,0.0529623230409102,は
10,0.00954062906981273,「
5,0.0805818401449597,沖縄
10,0.0825506136785141,の
4,0.0607845518581517,独立
10,0.0641336806240669,に
6,0.0529623230409102,は
6,0.00280069111581767,歴史
10,0.038810397674202,で
5,0.0101167706865315,伝承
2,0.0401212721781808,さ
2,0.0932073423933569,れ
6,0.0794365176680424,た
5,0.0101167706865315,基礎
10,0.0335484168015028,と
5,0.0101167706865315,正当
19,0.0238695178425501,性
10,0.0279575621242599,が
6,0.00698082710957538,あり
10,0.0878125945512133,、
5,0.0101167706865315,仮に
5,0.0101167706865315,真
6,0.104517333630589,の
6,0.00837420577416129,運動
6,0.0459954297179807,に
5,0.0101167706865315,発展
0,0.00238951452635567,すれ
0,0.0118529383931108,ば
10,0.0878125945512133,、
5,0.0805818401449597,沖縄
6,0.0209146137554344,人
2,0.108543318233297,の
4,0.0122054894340544,現実
5,0.0201832091805926,的
17,0.0531714892921379,な
4,0.0122054894340544,利益
10,0.0641336806240669,に
5,0.0101167706865315,合致
5,0.0705154016508985,する
6,0.0696828670159411,と
4,0.0122054894340544,言える
5,0.0805818401449597,」
10,0.0335484168015028,と
6,0.0446020510533948,し
6,0.0794365176680424,た
4,0.0122054894340544,上
6,0.0627159736930116,で
5,0.0503825246627761,「
4,0.072929317464176,中国
19,0.1702873876328,は
5,0.0101167706865315,国際
0,0.0165846503264884,法
2,0.108543318233297,の
4,0.0122054894340544,許す
5,0.0101167706865315,範囲
6,0.0627159736930116,で
2,0.108543318233297,の
4,0.0122054894340544,後押し
10,0.055254087901387,を
6,0.00280069111581767,行う
6,0.00698082710957538,べき
10,0.00756738624255053,だ
10,0.00164765776076394,」
6,0.0696828670159411,と
4,0.0243502550400787,主張
10,0.0368371548469398,し
6,0.0794365176680424,た
6,0.0655027310221834,。
0,0.104121321093973,　
14,0.00828251194989309,子宮
6,0.00280069111581767,頸
7,0.0159129421732686,（
14,0.00828251194989309,けい
0,0.087560329327152,）
14,0.00828251194989309,がん
6,0.104517333630589,の
14,0.0247651227954515,ワクチン
6,0.0627159736930116,で
14,0.0412477336410099,接種
2,0.00237117780294453,後
6,0.104517333630589,の
19,0.00343911740670123,健康
14,0.00828251194989309,被害
10,0.0279575621242599,が
14,0.0494890390637891,報告
2,0.0401212721781808,さ
0,0.0142187943597996,れ
2,0.107363627784071,て
0,0.0307797861266211,いる
14,0.00828251194989309,問題
6,0.0627159736930116,で
10,0.0878125945512133,、
14,0.00828251194989309,厚生
14,0.00828251194989309,労働省
2,0.108543318233297,の
14,0.0165238173726723,検討
14,0.0206444700840619,会
6,0.0529623230409102,は
14,0.0824542607549059,１
14,0.0330064282182307,６
2,0.0259649867874672,日
6,0.110090848288932,、
1,0.00652960951642123,因果
0,0.021316362259866,関係
4,0.145797911100322,を
14,0.00828251194989309,判断
5,0.0705154016508985,する
1,0.00652960951642123,ため
10,0.0825506136785141,の
14,0.00828251194989309,情報
2,0.103824556436392,が
14,0.00828251194989309,不足
6,0.0446020510533948,し
2,0.107363627784071,て
7,0.00267422156322816,いる
6,0.0696828670159411,と
10,0.0368371548469398,し
10,0.0878125945512133,、
14,0.0288857755068411,医療
6,0.0167344777616767,機関
17,0.0817802844531653,など
6,0.0250947497491921,から
14,0.0494890390637891,報告
2,0.0401212721781808,さ
2,0.0932073423933569,れ
10,0.0121716195061623,て
2,0.0542775575688945,い
14,0.0165238173726723,ない
14,0.0165238173726723,例
5,0.00508355143950089,も
14,0.00828251194989309,含め
2,0.107363627784071,て
14,0.00828251194989309,調査
10,0.055254087901387,を
2,0.0118087013967536,進める
2,0.0507384862212161,こと
10,0.055254087901387,を
14,0.00828251194989309,確認
10,0.0368371548469398,し
6,0.0794365176680424,た
6,0.0655027310221834,。
14,0.0412477336410099,接種
6,0.104517333630589,の
14,0.00828251194989309,一時
6,0.00280069111581767,中止
2,0.0648947716119297,など
19,0.1702873876328,は
14,0.00828251194989309,必要
14,0.0165238173726723,ない
10,0.0335484168015028,と
10,0.0825506136785141,の
14,0.00828251194989309,意見
6,0.0627159736930116,で
1,0.0194595293509187,一致
6,0.0446020510533948,し
6,0.0794365176680424,た
6,0.0655027310221834,。
0,0.104121321093973,　
14,0.00828251194989309,厚
6,0.00280069111581767,労
14,0.00828251194989309,省
2,0.103824556436392,が
14,0.0165238173726723,検討
14,0.0206444700840619,会
10,0.0641336806240669,に
14,0.00828251194989309,示し
6,0.0794365176680424,た
6,0.00280069111581767,資料
6,0.0459954297179807,に
0,0.0355114980599987,よる
6,0.0696828670159411,と
10,0.0878125945512133,、
14,0.0247651227954515,販売
2,0.103824556436392,が
6,0.00280069111581767,開始
10,0.00888288146072533,さ
2,0.0932073423933569,れ
6,0.0794365176680424,た
0,0.0378773540266875,２
14,0.0948162188890747,０
14,0.0948162188890747,０
14,0.0247651227954515,９
6,0.00976758443874719,年
14,0.00828251194989309,１２月
2,0.00591024915062293,以降
10,0.0878125945512133,、
14,0.00828251194989309,３月
6,0.00280069111581767,末
14,0.00828251194989309,時点
10,0.0825506136785141,の
14,0.00828251194989309,副作用
14,0.0494890390637891,報告
6,0.0529623230409102,は
14,0.0824542607549059,１
14,0.0247651227954515,９
14,0.0330064282182307,６
6,0.00837420577416129,８
14,0.0618509971979579,件
10,0.0424280095241827,。
14,0.0412477336410099,接種
10,0.0161181051606867,者
14,0.0165238173726723,数
10,0.038810397674202,で
6,0.00419406978040357,みる
6,0.0696828670159411,と
10,0.0878125945512133,、
